Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dinterdum-pretium-de-condimentus,Dinterdum Pretium De Condimentus,"<span data-mce-fragment=""1"">At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus.</span>",Marc,,,"",true,Color,White,Size,XS,,,"",0.0,shopify,2,deny,manual,189.00,209.00,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-12_e0fc0985-0f1b-4f08-a37c-c471b512c733.jpg?v=1643257284,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-12_e0fc0985-0f1b-4f08-a37c-c471b512c733.jpg?v=1643257284,kg,,,active
dinterdum-pretium-de-condimentus,,,,,,,,,White,,S,,,"",0.0,shopify,0,deny,manual,170.00,,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-11_965eb7bd-9e9b-4179-838d-2729e2df2f4a.jpg?v=1643257284,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-13_compact_9fa7b65f-6340-47be-bb13-533c021de015.jpg?v=1643257284,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,White,,M,,,"",0.0,shopify,1,deny,manual,169.00,,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-10.jpg?v=1643257284,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-10.jpg?v=1643257284,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,White,,L,,,"",0.0,shopify,0,deny,manual,159.00,,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-9_7b61dfc3-7fc1-41d9-8a3b-2924e1976c88.jpg?v=1643257284,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-9_7b61dfc3-7fc1-41d9-8a3b-2924e1976c88.jpg?v=1643257284,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,White,,XL,,,"",0.0,shopify,7,deny,manual,149.00,,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-14_5de617c8-0ef0-4920-9d4b-10be773de437.jpg?v=1643257284,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-11_965eb7bd-9e9b-4179-838d-2729e2df2f4a.jpg?v=1643257284,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,White,,2X,,,"",0.0,shopify,8,deny,manual,139.00,,true,true,"",https://cdn.shopify.com/s/files/1/0610/3531/5385/products/product-clothes-13_compact_9fa7b65f-6340-47be-bb13-533c021de015.jpg?v=1643257284,6,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Blue,,XS,,,"",0.0,shopify,7,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Blue,,S,,,"",0.0,shopify,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Blue,,M,,,"",0.0,shopify,9,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Blue,,L,,,"",0.0,shopify,8,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
